Sudo.ID	Approved.Symbol	txStart	txEnd	myStart	myEnd
219	IGHJ6	106329406	106329470	1	65
222	IGHJ3P	106329625	106329675	1	51
225	IGHJ5	106330022	106330074	1	53
228	IGHJ4	106330423	106330472	1	50
231	IGHJ3	106330795	106330846	1	52
234	IGHJ2P	106331003	106331062	1	60
237	IGHJ2	106331407	106331461	1	55
240	IGHJ1	106331615	106331668	1	54
246	IGHJ1P	106331834	106331887	1	54
243	IGHD7-27	106331761	106331771	1	11
249	IGHD1-26	106346892	106346911	1	20
252	IGHD6-25	106347397	106347414	1	18
255	IGHD5-24	106349761	106349780	1	20
258	IGHD4-23	106350728	106350746	1	19
261	IGHD3-22	106351889	106351919	1	31
264	IGHD2-21	106354409	106354436	1	28
267	IGHD1-20	106357049	106357065	1	17
270	IGHD6-19	106357557	106357577	1	21
273	IGHD5-18	106359400	106359419	1	20
276	IGHD4-17	106360366	106360381	1	16
279	IGHD3-16	106361492	106361528	1	37
282	IGHD2-15	106363815	106363845	1	31
285	IGHD1-14	106366496	106366512	1	17
288	IGHD6-13	106367000	106367020	1	21
291	IGHD5-12	106368507	106368529	1	23
294	IGHD4-11	106369474	106369489	1	16
297	IGHD3-10	106370355	106370385	1	31
300	IGHD3-9	106370539	106370569	1	31
303	IGHD2-8	106373069	106373099	1	31
306	IGHD1-7	106375766	106375782	1	17
309	IGHD6-6	106376269	106376286	1	18
312	IGHD5-5	106378116	106378135	1	20
315	IGHD4-4	106379081	106379096	1	16
318	IGHD3-3	106380218	106380248	1	31
321	IGHD2-2	106382685	106382715	1	31
324	IGHD1-1	106385361	106385377	1	17
329	IGHV6-1	106405609	106406056	1	365
332	IGHVII-1-1	106410796	106411247	1	452
337	IGHV1-2	106452669	106453106	1	353
340	IGHVIII-2-1	106467677	106467978	1	302
345	IGHV1-3	106471244	106471681	1	353
350	IGHV4-4	106478108	106478539	1	350
355	IGHV2-5	106494134	106494577	1	358
358	IGHVIII-5-1	106495898	106495996	1	99
361	IGHVIII-5-2	106501831	106502091	1	261
366	IGHV3-6	106511777	106512231	1	352
371	IGHV3-7	106518398	106518853	1	353
376	IGHV1-8	106539077	106539515	1	353
381	IGHV3-9	106552284	106552729	1	355
386	IGHV2-10	106559540	106559980	1	355
391	IGHV3-11	106573231	106573680	1	353
394	IGHVIII-11-1	106576885	106577071	1	187
399	IGHV1-12	106579014	106579303	1	205
404	IGHV3-13	106586135	106586587	1	350
407	IGHVIII-13-1	106598994	106599292	1	299
410	IGHV1-14	106602571	106602820	1	250
415	IGHV3-15	106610311	106610772	1	359
418	IGHVII-15-1	106620221	106620491	1	271
423	IGHV3-16	106621892	106622345	1	353
426	IGHVIII-16-1	106627436	106627740	1	305
431	IGHV1-17	106631031	106631467	1	352
436	IGHV1-18	106641561	106641997	1	353
