Sudo.ID	Approved.Symbol	txStart	txEnd	myStart	myEnd
1	TRBV1	1	450	1	333
2	TRBV2	1996	2430	1	347
3	TRBV3-1	9594	10053	1	344
4	TRBV4-1	14218	14671	1	344
5	TRBV5-1	22066	22535	1	343
6	TRBV6-1	29347	29779	1	344
7	TRBV7-1	33208	33696	1	347
8	TRBV4-2	46522	46975	1	344
9	TRBV6-2	50342	50774	1	344
10	TRBV3-2	60323	60782	1	344
11	TRBV4-3	63782	64235	1	344
12	TRBV6-3	72023	72455	1	344
13	TRBV7-2	75656	76152	1	347
14	TRBV8-1	81762	82048	1	287
15	TRBV5-2	95610	96050	1	332
16	TRBV6-4	103966	104400	1	344
17	TRBV7-3	107537	107993	1	347
18	TRBV8-2	109339	109799	1	325
19	TRBV5-3	112355	112821	1	343
20	TRBV9	115091	115565	1	343
21	TRBV10-1	123082	123531	1	344
22	TRBV11-1	130841	131288	1	347
23	TRBV12-1	138374	138816	1	344
24	TRBV10-2	148148	148597	1	344
25	TRBV11-2	157108	157546	1	347
26	TRBV12-2	164035	164477	1	344
27	TRBV6-5	174165	174600	1	344
28	TRBV7-4	178323	178784	1	347
29	TRBV5-4	186270	186734	1	343
30	TRBV6-6	192740	193172	1	344
31	TRBV7-5	197255	197726	1	345
32	TRBV5-5	205715	206179	1	343
33	TRBV6-7	211023	211455	1	344
34	TRBV7-6	215338	215830	1	347
35	TRBV5-6	223227	223692	1	343
36	TRBV6-8	230539	230967	1	341
37	TRBV7-7	234781	235282	1	347
38	TRBV5-7	243244	243710	1	343
39	TRBV6-9	250550	250981	1	344
40	TRBV7-8	255164	255647	1	347
41	TRBV5-8	263380	263846	1	343
42	TRBV7-9	272581	273053	1	347
43	TRBV13	279100	279583	1	374
44	TRBV10-3	287512	287961	1	344
45	TRBV11-3	298160	298597	1	347
46	TRBV12-3	303762	304208	1	347
47	TRBV12-4	307085	307531	1	347
48	TRBV12-5	324276	324722	1	347
49	TRBV14	331219	331651	1	347
50	TRBV15	336294	336762	1	344
51	TRBV16	341303	341756	1	347
52	TRBV17	344919	345653	1	344
53	TRBV18	358990	359608	1	347
54	TRBV19	362250	362725	1	344
55	TRBV20-1	369920	370592	1	335
56	TRBV21-1	380103	380563	1	348
57	TRBV22-1	384924	385374	1	345
58	TRBV23-1	389143	389639	1	347
59	TRBV24-1	398484	398960	1	345
60	TRBV25-1	412859	413326	1	344
61	TRBVA	423487	423941	1	316
62	TRBV26	437780	438264	1	344
63	TRBVB	453476	454016	1	408
64	TRBV27	457482	457954	1	344
65	TRBV28	462772	463252	1	344
66	TRBV29-1	482390	483003	1	335
67	TRBV30	575084	575784	1	335
68	TRBD1	548712	548723	1	12
69	TRBD2	558204	558219	1	16
70	TRBJ1-1	549379	549426	1	48
71	TRBJ1-2	549516	549563	1	48
72	TRBJ1-3	550129	550178	1	50
73	TRBJ1-4	550724	550774	1	51
74	TRBJ1-5	550997	551046	1	50
75	TRBJ1-6	551487	551539	1	53
76	TRBJ2-1	558864	558913	1	50
77	TRBJ2-2	559059	559109	1	51
78	TRBJ2-2P	559196	559241	1	46
79	TRBJ2-3	559346	559394	1	49
80	TRBJ2-4	559497	559546	1	50
81	TRBJ2-5	559618	559665	1	48
82	TRBJ2-6	559738	559790	1	53
83	TRBJ2-7	559955	560001	1	47
