Sudo.ID	Approved.Symbol	txStart	txEnd	myStart	myEnd
4	TRAV1-1	1	664	1	326
12	TRAV1-2	21137	21750	1	326
20	TRAV2	90498	91010	1	338
25	TRAV3	102080	102512	1	343
30	TRAV4	114445	115208	1	328
35	TRAV5	127418	127933	1	340
40	TRAV6	146737	147264	1	340
45	TRAV7	161154	161664	1	337
50	TRAV8-1	175535	176002	1	341
55	TRAV9-1	189618	190093	1	338
60	TRAV10	203616	204183	1	343
65	TRAV11	207636	208167	1	339
70	TRAV12-1	219369	219900	1	337
75	TRAV8-2	224888	225347	1	341
80	TRAV8-3	230679	231127	1	341
85	TRAV13-1	246987	247490	1	337
90	TRAV12-2	266083	266626	1	343
95	TRAV8-4	272685	273154	1	341
100	TRAV8-5	281201	282722	1	1418
105	TRAV13-2	296377	296875	1	340
110	TRAV14DV4	302258	302771	1	350
115	TRAV9-2	319313	319792	1	338
120	TRAV15	328278	328821	1	344
125	TRAV12-3	343680	344234	1	343
130	TRAV8-6	356863	357304	1	341
135	TRAV16	368679	369121	1	329
140	TRAV17	375869	376351	1	337
145	TRAV18	381394	381856	1	335
150	TRAV19	385812	386364	1	350
155	TRAV20	418853	419343	1	337
160	TRAV21	430724	431259	1	336
165	TRAV22	448897	449415	1	331
170	TRAV23DV6	464673	465182	1	364
180	TRAV24	483564	484067	1	343
185	TRAV25	490320	490928	1	327
190	TRAV26-1	501429	502187	1	328
195	TRAV8-7	510459	510940	1	344
200	TRAV27	525990	526531	1	328
205	TRAV28	532956	533515	1	323
210	TRAV29DV5	541189	541710	1	358
215	TRAV30	546269	546828	1	337
220	TRAV31	555114	555705	1	342
225	TRAV32	563402	563901	1	344
230	TRAV33	567996	568552	1	339
235	TRAV26-2	580421	581206	1	327
240	TRAV34	585374	585969	1	337
245	TRAV35	599736	600315	1	330
250	TRAV36DV7	604601	605093	1	340
255	TRAV37	643576	645000	1	1251
260	TRAV38-1	649798	650390	1	350
265	TRAV38-2DV8	658978	659575	1	349
270	TRAV39	681883	682382	1	331
275	TRAV40	692866	693295	1	317
280	TRAV41	698564	699067	1	336
329	TRAJ61	854250	854309	1	60
332	TRAJ59	855487	855540	1	54
335	TRAJ58	856640	856702	1	63
338	TRAJ57	857805	857867	1	63
341	TRAJ56	858454	858515	1	62
344	TRAJ54	861220	861279	1	60
347	TRAJ53	861937	862002	1	66
350	TRAJ52	865160	865228	1	69
353	TRAJ50	867525	867584	1	60
356	TRAJ49	868420	868475	1	56
359	TRAJ48	869423	869485	1	63
362	TRAJ47	871782	871838	1	57
365	TRAJ46	872333	872395	1	63
368	TRAJ45	872855	872920	1	66
371	TRAJ44	873750	873812	1	63
374	TRAJ43	874840	874893	1	54
377	TRAJ42	875816	875881	1	66
380	TRAJ41	876586	876647	1	62
383	TRAJ40	878616	878676	1	61
386	TRAJ39	880529	880591	1	63
389	TRAJ38	881159	881220	1	62
394	TRAJ37	882679	882741	1	62
398	TRAJ36	884040	884099	1	58
401	TRAJ35	885573	885631	1	59
404	TRAJ34	886595	886652	1	58
407	TRAJ33	887531	887587	1	57
410	TRAJ32	888269	888334	1	66
413	TRAJ31	889895	889951	1	57
416	TRAJ30	891778	891834	1	57
419	TRAJ29	892865	892924	1	60
422	TRAJ28	894545	894610	1	66
425	TRAJ27	895195	895253	1	59
428	TRAJ26	897368	897427	1	60
431	TRAJ25	897734	897793	1	60
434	TRAJ24	898891	898953	1	63
437	TRAJ23	899338	899400	1	63
440	TRAJ22	900960	901022	1	63
443	TRAJ21	902517	902571	1	55
446	TRAJ20	903240	903296	1	57
449	TRAJ19	904177	904236	1	60
452	TRAJ18	904564	904629	1	66
455	TRAJ17	905756	905818	1	63
458	TRAJ16	907431	907490	1	60
465	TRAJ15	908524	908585	1	60
468	TRAJ14	909222	909273	1	52
471	TRAJ13	909970	910032	1	63
474	TRAJ12	910833	910892	1	60
477	TRAJ11	911396	911455	1	60
480	TRAJ10	912389	912452	1	64
483	TRAJ9	914446	914506	1	61
486	TRAJ8	915036	915095	1	60
489	TRAJ7	916511	916569	1	59
492	TRAJ6	917960	918021	1	62
495	TRAJ5	919134	919193	1	60
498	TRAJ4	921086	921148	1	63
501	TRAJ3	922066	922127	1	62
504	TRAJ2	922959	923024	1	66
507	TRAJ1	923925	923986	1	62
